[23-Mar-2021 08:40:47 UTC] PHP Parse error:  syntax error, unexpected '}' in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 167
[23-Mar-2021 08:42:48 UTC] PHP Parse error:  syntax error, unexpected '}' in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 167
[23-Mar-2021 09:05:35 UTC] PHP Parse error:  syntax error, unexpected 'alert' (T_STRING), expecting ',' or ';' in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 226
[23-Mar-2021 09:28:38 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:38 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:38 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:41 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:41 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:41 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:42 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:42 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:28:42 UTC] PHP Notice:  Undefined variable: active in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 247
[23-Mar-2021 09:48:47 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 258
[23-Mar-2021 09:50:48 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:52:48 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:54:49 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:03 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:04 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:06 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:07 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:09 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:10 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:10 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:10 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:11 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:11 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:11 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
[23-Mar-2021 09:57:12 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) in C:\xampp\htdocs\wordpressplugin\wp-content\plugins\review-plugin\review-plugin.php on line 260
